year,district_name,block_name,village_name,Boron,Copper,Electrical Conductivity,Iron,Manganese,Nitrogen,Organic Carbon,Phosphorus,Potassium,Soil Ph,Sulphur,Zinc,nutrients_available,coverage_percentage
2023-24,Ariyalur,Sendurai,Kulumur,99,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Ariyalur,Sendurai,Paranam,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Ariyalur,Sendurai,Sirkalathur,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Ariyalur,Sendurai,Unjini,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Ariyalur,T. Palur,Edanganni,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Ariyalur,T. Palur,Irugaiyur,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Ariyalur,T. Palur,Kadambur,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Ariyalur,T. Palur,Karaikurichi,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Ariyalur,T. Palur,Managethi,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Ariyalur,T. Palur,Naduvalur (East),100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Ariyalur,T. Palur,Venmankondan (West),100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Ariyalur,Thirumanur,Keelakolathur,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Ariyalur,Thirumanur,Keezhapalur,110,110,110,110,110,110,110,110,110,110,110,110,12,100.0
2023-24,Ariyalur,Thirumanur,Kulamanickam (East),90,90,90,90,90,90,90,90,90,90,90,90,12,100.0
2023-24,Ariyalur,Thirumanur,Palinganatham,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Ariyalur,Thirumanur,Papanacheri,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Ariyalur,Thirumanur,Sullangudi,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Ariyalur,Thirumanur,Thirumanur,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Ariyalur,Thirumanur,Varanavasi,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Chengalpattu,Acharapakkam,Athur,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Chengalpattu,Acharapakkam,Kadambur,101,101,101,101,101,101,101,101,101,101,101,101,12,100.0
2023-24,Chengalpattu,Acharapakkam,Kilathivakkam,101,101,101,101,101,101,101,101,101,101,101,101,12,100.0
2023-24,Chengalpattu,Acharapakkam,L.Endathur,74,74,74,74,74,74,74,74,74,74,74,74,12,100.0
2023-24,Chengalpattu,Acharapakkam,Ladakaranai,30,30,30,30,30,30,30,30,30,30,30,30,12,100.0
2023-24,Chengalpattu,Acharapakkam,Madhur,101,101,101,101,101,101,101,101,101,101,101,101,12,100.0
2023-24,Chengalpattu,Acharapakkam,Nedungal,104,104,104,104,104,104,104,104,104,104,104,104,12,100.0
2023-24,Chengalpattu,Acharapakkam,Orathur,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Chengalpattu,Acharapakkam,Pallipettai,101,101,101,101,101,101,101,101,101,101,101,101,12,100.0
2023-24,Chengalpattu,Acharapakkam,Perumbairkandigai,99,99,99,99,99,99,99,99,99,99,99,99,12,100.0
2023-24,Chengalpattu,Acharapakkam,Puducheri,26,26,26,26,26,26,26,26,26,26,26,26,12,100.0
2023-24,Chengalpattu,Acharapakkam,Seethapuram,81,81,81,81,81,81,81,81,81,81,81,81,12,100.0
2023-24,Chengalpattu,Acharapakkam,Sirupairpandi,116,116,116,116,116,116,116,116,116,116,116,116,12,100.0
2023-24,Chengalpattu,Acharapakkam,Thandarai,21,21,21,21,21,21,21,21,21,21,21,21,12,100.0
2023-24,Chengalpattu,Acharapakkam,Vinnampoondi,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Chengalpattu,Chithamur,Agaram,19,19,19,19,19,19,19,19,19,19,19,19,12,100.0
2023-24,Chengalpattu,Chithamur,Chinnakayapakkam,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Chengalpattu,Chithamur,Keelmaruvathur,107,107,107,107,107,107,107,107,107,107,107,107,12,100.0
2023-24,Chengalpattu,Chithamur,Kolathur,114,114,114,114,114,114,114,114,114,114,114,114,12,100.0
2023-24,Chengalpattu,Chithamur,Kurambarai,31,31,31,31,31,31,31,31,31,31,31,31,12,100.0
2023-24,Chengalpattu,Chithamur,Perambakkam,103,103,103,103,103,103,103,103,103,103,103,103,12,100.0
2023-24,Chengalpattu,Chithamur,Perukkaranai,104,104,104,104,104,104,104,104,104,104,104,104,12,100.0
2023-24,Chengalpattu,Chithamur,Polambakkam,64,64,64,64,64,64,64,64,64,64,64,64,12,100.0
2023-24,Chengalpattu,Chithamur,Puthirankottai,102,102,102,102,102,102,102,102,102,102,102,102,12,100.0
2023-24,Chengalpattu,Chithamur,Sirunagar,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Chengalpattu,Chithamur,Sothupakkam,83,83,83,83,83,83,83,83,83,83,83,83,12,100.0
2023-24,Chengalpattu,Chithamur,Vedal,101,101,101,101,101,101,101,101,101,101,101,101,12,100.0
2023-24,Chengalpattu,Kattankolathur,Chengalpattu,2,2,2,2,2,2,2,2,2,2,2,2,12,100.0
2023-24,Chengalpattu,Kattankolathur,Echankaranai,43,43,43,43,43,43,43,43,43,43,43,42,12,100.0
2023-24,Chengalpattu,Kattankolathur,Kayarambedu,144,144,144,144,144,144,144,144,144,144,144,144,12,100.0
2023-24,Chengalpattu,Kattankolathur,Palur,70,70,70,70,70,70,70,70,70,70,70,70,12,100.0
2023-24,Chengalpattu,Kattankolathur,Palur B,64,64,64,64,64,64,64,64,64,64,64,64,12,100.0
2023-24,Chengalpattu,Kattankolathur,Thiruvadisoolam,47,47,47,47,47,47,47,47,47,47,47,47,12,100.0
2023-24,Chengalpattu,Kattankolathur,Villiambakkam,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Chengalpattu,Lathur,Ammanur,109,109,109,109,109,109,109,109,109,109,109,109,12,100.0
2023-24,Chengalpattu,Lathur,Iranyasidhi,102,102,102,102,102,102,102,102,102,102,102,102,12,100.0
2023-24,Chengalpattu,Lathur,Kanathur,26,26,26,26,26,26,26,26,26,26,26,26,12,100.0
2023-24,Chengalpattu,Lathur,Kodapattinam,52,52,52,52,52,52,52,52,52,52,52,52,12,100.0
2023-24,Chengalpattu,Lathur,Lathur,103,103,103,103,103,103,103,103,103,103,103,103,12,100.0
2023-24,Chengalpattu,Lathur,Nelvoy,2,2,2,2,2,2,2,2,2,2,2,2,12,100.0
2023-24,Chengalpattu,Lathur,Palur,46,46,46,46,46,46,46,46,46,46,46,46,12,100.0
2023-24,Chengalpattu,Lathur,Pavunjur,62,62,62,62,62,62,62,62,62,62,62,62,12,100.0
2023-24,Chengalpattu,Lathur,Pekkaranai,18,18,18,18,18,18,18,18,18,18,18,18,12,100.0
2023-24,Chengalpattu,Lathur,Sathamangalam,72,72,72,72,72,72,72,72,72,72,72,72,12,100.0
2023-24,Chengalpattu,Lathur,Sengattur,103,103,103,103,103,103,103,103,103,103,103,103,12,100.0
2023-24,Chengalpattu,Lathur,Thandarai,56,56,56,56,56,56,56,56,56,56,56,56,12,100.0
2023-24,Chengalpattu,Lathur,Uludamangalam,39,39,39,39,39,39,39,39,39,39,39,39,12,100.0
2023-24,Chengalpattu,Lathur,Vadapattinam,67,67,67,67,67,67,67,67,67,67,67,67,12,100.0
2023-24,Chengalpattu,Madurantakam,Amayambattu,36,36,36,36,36,36,36,36,36,36,36,36,12,100.0
2023-24,Chengalpattu,Madurantakam,Arungunam,1,1,1,1,1,1,1,1,1,1,1,1,12,100.0
2023-24,Chengalpattu,Madurantakam,Erumbedu,118,118,118,118,118,118,118,118,118,118,118,118,12,100.0
2023-24,Chengalpattu,Madurantakam,Kallabiranpuram,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Chengalpattu,Madurantakam,Kilvasalai,43,43,43,43,43,43,43,43,43,43,43,43,12,100.0
2023-24,Chengalpattu,Madurantakam,Nallamur Keelakaranai,115,115,115,115,115,115,115,115,115,115,115,115,12,100.0
2023-24,Chengalpattu,Madurantakam,Neerpair,58,58,58,58,58,58,58,58,58,58,58,58,12,100.0
2023-24,Chengalpattu,Madurantakam,Nesapakkam,48,48,48,48,48,48,48,48,48,48,48,48,12,100.0
2023-24,Chengalpattu,Madurantakam,Nethapakkam,103,103,103,103,103,103,103,103,103,103,103,103,12,100.0
2023-24,Chengalpattu,Madurantakam,Palayanur,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Chengalpattu,Madurantakam,Peruveli,205,205,205,205,205,205,205,205,205,205,205,205,12,100.0
2023-24,Chengalpattu,Madurantakam,Vilvarayanallur,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Chengalpattu,Madurantakam,Z.Budur,120,120,120,120,120,120,120,120,120,120,120,120,12,100.0
2023-24,Chengalpattu,St.Thomas Mount,Agaramthen,1,1,1,1,1,1,1,1,1,1,1,1,12,100.0
2023-24,Chengalpattu,St.Thomas Mount,Kasbapuram,69,69,69,69,69,69,69,69,69,69,69,69,12,100.0
2023-24,Chengalpattu,St.Thomas Mount,Nanmangalam (Og),62,62,62,62,62,62,62,62,62,62,62,62,12,100.0
2023-24,Chengalpattu,St.Thomas Mount,Tiruvancheri (Og),32,32,32,32,32,32,32,32,32,32,32,32,12,100.0
2023-24,Chengalpattu,St.Thomas Mount,Vengavasal (Ct),138,138,138,138,138,138,138,138,138,138,138,138,12,100.0
2023-24,Chengalpattu,Thiruporur,Acharavakkam,1,1,1,1,1,1,1,1,1,1,1,1,12,100.0
2023-24,Chengalpattu,Thiruporur,Agaram,1,1,1,1,1,1,1,1,1,1,1,1,12,100.0
2023-24,Chengalpattu,Thiruporur,Alathur,103,103,103,103,103,103,103,103,103,103,103,103,12,100.0
2023-24,Chengalpattu,Thiruporur,Amaiyampattu,11,11,11,11,11,11,11,11,11,11,11,11,12,100.0
2023-24,Chengalpattu,Thiruporur,Arungundram,121,121,121,121,121,121,121,121,121,121,121,121,12,100.0
2023-24,Chengalpattu,Thiruporur,Dasarikuppam,72,72,72,72,72,72,72,72,72,72,72,72,12,100.0
2023-24,Chengalpattu,Thiruporur,Dhakshnavarthy,11,11,11,11,11,11,11,11,11,11,11,11,12,100.0
2023-24,Chengalpattu,Thiruporur,Hanumanthapuram,94,94,94,94,94,94,94,94,94,94,94,94,12,100.0
2023-24,Chengalpattu,Thiruporur,Kannathur Reddy Kuppam,10,10,10,10,10,10,10,10,10,10,10,10,12,100.0
2023-24,Chengalpattu,Thiruporur,Kolathur,2,2,2,2,2,2,2,2,2,2,2,2,12,100.0
2023-24,Chengalpattu,Thiruporur,Manamathy,109,109,109,109,109,109,109,109,109,109,109,109,12,100.0
2023-24,Chengalpattu,Thiruporur,Melkanagampattu,26,26,26,26,26,26,26,26,26,26,26,26,12,100.0
2023-24,Chengalpattu,Thiruporur,Nellikuppam,121,121,121,121,121,121,121,121,121,121,121,121,12,100.0
2023-24,Chengalpattu,Thiruporur,Nemmeli,8,8,8,8,8,8,8,8,8,8,8,8,12,100.0
2023-24,Chengalpattu,Thiruporur,Oragadam,195,195,195,195,195,195,195,195,195,195,195,195,12,100.0
2023-24,Chengalpattu,Thiruporur,Polacheri,17,17,17,17,17,17,17,17,17,17,17,17,12,100.0
2023-24,Chengalpattu,Thiruporur,Ponmar,29,29,29,29,29,29,29,29,29,29,29,29,12,100.0
2023-24,Chengalpattu,Thiruporur,Poranthavakkam,67,67,67,67,67,67,67,67,67,67,67,67,12,100.0
2023-24,Chengalpattu,Thiruporur,Santhanampattu,12,12,12,12,12,12,12,12,12,12,12,12,12,100.0
2023-24,Chengalpattu,Thiruporur,Vengaleri,8,8,8,8,8,8,8,8,8,8,8,8,12,100.0
2023-24,Chengalpattu,Tirukkalukunram,Arambakkam,17,17,17,17,17,17,17,17,17,17,17,17,12,100.0
2023-24,Chengalpattu,Tirukkalukunram,Echankaranai,81,81,81,81,81,81,81,81,81,81,81,81,12,100.0
2023-24,Chengalpattu,Tirukkalukunram,Echur,111,111,111,111,111,111,111,111,111,111,111,111,12,100.0
2023-24,Chengalpattu,Tirukkalukunram,Kuhipanthandalam,110,110,110,110,110,110,110,110,110,110,110,110,12,100.0
2023-24,Chengalpattu,Tirukkalukunram,Kunnathur,111,111,111,111,111,111,111,111,111,111,111,111,12,100.0
2023-24,Chengalpattu,Tirukkalukunram,Meleripakkam,109,109,109,109,109,109,109,109,109,109,109,109,12,100.0
2023-24,Chengalpattu,Tirukkalukunram,Narapakkam,110,110,110,110,110,110,110,110,110,110,110,110,12,100.0
2023-24,Chengalpattu,Tirukkalukunram,Nelvoy,135,135,135,135,135,135,135,135,135,135,135,135,12,100.0
2023-24,Chengalpattu,Tirukkalukunram,Nemmeli,85,85,85,85,85,85,85,85,85,85,85,85,12,100.0
2023-24,Chengalpattu,Tirukkalukunram,Pattikadu,34,34,34,34,34,34,34,34,34,34,34,34,12,100.0
2023-24,Chengalpattu,Tirukkalukunram,Poonthandalam,51,51,51,51,51,51,51,51,51,51,51,51,12,100.0
2023-24,Chengalpattu,Tirukkalukunram,Pudupakkam,7,7,7,7,7,7,7,7,7,7,7,7,12,100.0
2023-24,Chengalpattu,Tirukkalukunram,Puliyur,62,62,62,62,62,62,62,62,62,62,62,62,12,100.0
2023-24,Chengalpattu,Tirukkalukunram,Thathalur,110,110,110,110,110,110,110,110,110,110,110,110,12,100.0
2023-24,Chengalpattu,Tirukkalukunram,Venbakkam,46,46,46,46,46,46,46,46,46,46,46,46,12,100.0
2023-24,Chengalpattu,Tirukkalukunram,Vengabakkam,44,44,43,44,44,44,44,44,44,44,44,44,12,100.0
2023-24,Coimbatore,Anamalai,Jallipatti,21,21,21,21,21,21,21,21,21,21,21,21,12,100.0
2023-24,Coimbatore,Anamalai,Kariyanchettipalayam,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Coimbatore,Anamalai,Marchinaickenpalayam,75,75,75,75,75,75,75,75,75,75,75,75,12,100.0
2023-24,Coimbatore,Anamalai,Thensangampalayam,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Coimbatore,Annur,Kanjappali,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Coimbatore,Annur,Kariampalayam,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Coimbatore,Annur,Kuppanur,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Coimbatore,Annur,Naranapuram,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Coimbatore,Karamadai,Chikkarampalayam,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Coimbatore,Karamadai,Chinnakallipatti,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Coimbatore,Karamadai,Kalampalayam,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Coimbatore,Kinathukadavu,Devanampalayam,125,125,125,125,125,125,125,125,125,125,125,125,12,100.0
2023-24,Coimbatore,Kinathukadavu,Devarayapuram,75,75,75,75,75,75,75,75,75,75,75,75,12,100.0
2023-24,Coimbatore,Kinathukadavu,Kothavadi,50,50,50,50,50,50,50,50,50,50,50,50,12,100.0
2023-24,Coimbatore,Kinathukadavu,Kurunallipalayam,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Coimbatore,Kinathukadavu,Mettupalayam (Part),75,75,75,75,75,75,75,75,75,75,75,75,12,100.0
2023-24,Coimbatore,Kinathukadavu,Panappatti,150,150,150,150,150,150,150,150,150,150,150,150,12,100.0
2023-24,Coimbatore,Kinathukadavu,Vadaputhur,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Coimbatore,Kinathukadavu,Vadasithur,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Coimbatore,Madukkarai,Myleripalayam,140,140,140,140,140,140,140,140,140,140,140,140,12,100.0
2023-24,Coimbatore,Madukkarai,Nachippalayam,60,60,60,60,60,60,60,60,60,60,60,60,12,100.0
2023-24,Coimbatore,Periyanayakkanpalayam,Ashokapuram (Ct),10,10,10,10,10,10,10,10,10,10,10,10,12,100.0
2023-24,Coimbatore,Periyanayakkanpalayam,Bilichi,190,190,190,190,190,190,190,190,190,190,190,190,12,100.0
2023-24,Coimbatore,Periyanayakkanpalayam,Naickenpalayam,1,1,1,1,1,1,1,1,1,1,1,1,12,100.0
2023-24,Coimbatore,Pollachi North,A. Nagoor,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Coimbatore,Pollachi North,Boligoundenpalayam,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Coimbatore,Pollachi North,Chikkarayapuram,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Coimbatore,Pollachi North,Kallipatti,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Coimbatore,Pollachi North,Mulanur,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Coimbatore,Pollachi North,Sinna Negamam,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Coimbatore,Pollachi North,Thippampatti,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Coimbatore,Pollachi South,Kolarpatti,150,150,150,150,150,150,150,150,150,150,150,150,12,100.0
2023-24,Coimbatore,Pollachi South,Makkinampatti (Ct),100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Coimbatore,Pollachi South,Naickenpalayam,99,99,99,99,99,99,99,99,99,99,99,99,12,100.0
2023-24,Coimbatore,Pollachi South,Palayur,75,75,75,75,75,75,75,75,75,75,75,75,12,100.0
2023-24,Coimbatore,Pollachi South,Unjavelampatti,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Coimbatore,Pollachi South,Veeralpatti,75,75,75,75,75,75,75,75,75,75,75,75,12,100.0
2023-24,Coimbatore,Sarcarsamakulam,Keeranatham,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Coimbatore,Sultanpet,Jallipatti,104,104,104,104,104,104,104,104,104,104,104,104,12,100.0
2023-24,Coimbatore,Sultanpet,Kallapalayam,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Coimbatore,Sultanpet,Kammalapatti,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Coimbatore,Sultanpet,Poorandampalayam,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Coimbatore,Sultanpet,Senjeri Ayyampalayam,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Coimbatore,Sultanpet,Thalakkarai,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Coimbatore,Sulur,Kaduvettipalayam,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Coimbatore,Sulur,Rasipalayam,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Coimbatore,Sulur,Semmandampalayam,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Coimbatore,Thondamuthur,Devarayapuram,25,25,25,25,25,25,25,25,25,25,25,25,12,100.0
2023-24,Coimbatore,Thondamuthur,Theethipalayam,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Cuddalore,Annagramam,Alagapperumalkuppam,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Cuddalore,Annagramam,Chittarasur,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Cuddalore,Annagramam,Eidanur,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Cuddalore,Annagramam,Kongarayanur,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Cuddalore,Annagramam,Kottambakkam,26,26,26,26,26,26,26,26,26,26,26,26,12,100.0
2023-24,Cuddalore,Annagramam,Pagandai,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Cuddalore,Annagramam,Panapakkam,174,174,174,174,174,174,174,174,174,174,174,174,12,100.0
2023-24,Cuddalore,Annagramam,Sanniyasipettai,100,100,100,100,100,100,100,100,99,100,100,100,12,100.0
2023-24,Cuddalore,Annagramam,Thirasu,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Cuddalore,Cuddalore,Alagiyanatham,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Cuddalore,Cuddalore,Chinnakanganankuppam,54,54,54,54,54,54,54,54,54,54,54,54,12,100.0
2023-24,Cuddalore,Cuddalore,Karaikkadu,165,165,165,165,165,165,165,165,165,165,165,165,12,100.0
2023-24,Cuddalore,Cuddalore,Karanapatu,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Cuddalore,Cuddalore,Periyakanganankuppam,46,46,46,46,46,46,46,46,46,46,46,46,12,100.0
2023-24,Cuddalore,Cuddalore,Ponnaiyankuppam,40,40,40,40,40,40,40,40,40,40,40,40,12,100.0
2023-24,Cuddalore,Cuddalore,Tennambakkam,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Cuddalore,Cuddalore,Tirumanikkuli,200,200,200,200,200,200,200,200,200,200,200,200,12,100.0
2023-24,Cuddalore,Cuddalore,Tiruppanambakkam,160,160,160,160,160,160,160,160,160,160,160,160,12,100.0
2023-24,Cuddalore,Cuddalore,Tottappattu,35,35,35,35,35,35,35,35,35,35,35,35,12,100.0
2023-24,Cuddalore,Kammapuram,Gopalapuram,100,94,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Cuddalore,Kammapuram,Karkudal,100,98,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Cuddalore,Kammapuram,Keenanur,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Cuddalore,Kammapuram,Kilpathi,156,155,156,156,156,156,156,156,156,156,156,156,12,100.0
2023-24,Cuddalore,Kammapuram,Kolliruppu,100,97,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Cuddalore,Kammapuram,Kotteri,100,98,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Cuddalore,Kammapuram,Sattapadi,100,98,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Cuddalore,Kammapuram,U.Mangalam,100,97,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Cuddalore,Kammapuram,Uyyakondaravi,44,44,44,44,44,44,44,44,44,44,44,44,12,100.0
2023-24,Cuddalore,Kattumannarkoil,Achalpuram,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Cuddalore,Kattumannarkoil,Karunakaranallur,200,200,200,200,200,200,200,200,200,200,200,200,12,100.0
2023-24,Cuddalore,Kattumannarkoil,Muttam,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Cuddalore,Kattumannarkoil,Rayanallur,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Cuddalore,Kattumannarkoil,Reddiyur,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Cuddalore,Kattumannarkoil,Shandan,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Cuddalore,Kattumannarkoil,Tiruchinnapuram,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Cuddalore,Kattumannarkoil,Uttamasolagan(Mannargudi),100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Cuddalore,Keerapalayam,Ayipettai,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Cuddalore,Keerapalayam,Ayyanurakkaramangalam,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Cuddalore,Keerapalayam,Mathuranthaganallur,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Cuddalore,Keerapalayam,Poonthottam,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Cuddalore,Keerapalayam,Sakkangudi,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Cuddalore,Keerapalayam,T.Neduncheri,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Cuddalore,Keerapalayam,Thathampettai,33,33,33,33,33,33,33,33,33,33,33,33,12,100.0
2023-24,Cuddalore,Keerapalayam,Vada Harirajapuram,67,64,67,67,67,67,67,67,67,67,67,67,12,100.0
2023-24,Cuddalore,Keerapalayam,Vazhakollai,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Cuddalore,Keerapalayam,Velliyakudi,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Cuddalore,Komaratchi,Alkondanatham,51,51,51,51,51,51,51,51,51,51,51,51,12,100.0
2023-24,Cuddalore,Komaratchi,C.Vakkaramari,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
