year,district_name,district_code,block_name,block_code,village_name,village_code,nitrogen_status,phosphorus_status,potassium_status,organic_carbon_status,electrical_conductivity_status,soil_ph_status,zinc_status,boron_status,manganese_status,sulphur_status,copper_status,iron_status,boron_deficient,boron_sufficient,copper_deficient,copper_sufficient,electrical_conductivity_non_saline,electrical_conductivity_saline,iron_deficient,iron_sufficient,manganese_deficient,manganese_sufficient,nitrogen_high,nitrogen_low,nitrogen_medium,organic_carbon_high,organic_carbon_low,organic_carbon_medium,phosphorus_high,phosphorus_low,phosphorus_medium,potassium_high,potassium_low,potassium_medium,soil_ph_acidic,soil_ph_alkaline,soil_ph_neutral,sulphur_deficient,sulphur_sufficient,zinc_deficient,zinc_sufficient
2023-24,Ariyalur,610,Ariyalur,6256,Karuppur (Senapathy),636476,Low,Medium,Medium,Low,Non Saline,Neutral,Deficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,0,100,1,99,100,0,3,97,0,100,0,100,0,0,100,0,0,0,100,0,0,100,0,0,100,0,100,64,36
2023-24,Ariyalur,610,Ariyalur,6256,Periyanagalur,636463,Low,Medium,Medium,Low,Non Saline,Neutral,Deficient,Sufficient,Deficient,Deficient,Sufficient,Sufficient,16,84,0,100,100,0,0,100,99,1,0,100,0,0,100,0,0,0,100,0,0,100,0,1,99,92,8,63,37
2023-24,Ariyalur,610,Jayamkondam,6257,Amanakkanthondi,636376,Low,Medium,Medium,Low,Non Saline,Neutral,Deficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,0,60,0,60,60,0,0,60,0,60,0,60,0,0,60,0,0,0,60,0,0,60,0,0,60,0,60,34,26
2023-24,Ariyalur,610,Jayamkondam,6257,Angarayanallur (East),636382,Low,Medium,Medium,Low,Non Saline,Neutral,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,0,100,0,100,100,0,1,99,0,100,0,100,0,0,100,0,0,0,100,0,0,100,0,0,100,0,100,49,51
2023-24,Ariyalur,610,Jayamkondam,6257,Kundaveli (West),636369,Low,Medium,Medium,Low,Non Saline,Neutral,Deficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,0,100,0,100,100,0,0,100,0,100,0,100,0,0,100,0,0,0,100,0,0,100,0,0,100,0,100,53,47
2023-24,Ariyalur,610,Jayamkondam,6257,Pappakudi (North),636350,Low,Medium,Medium,Low,Non Saline,Neutral,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,0,100,0,100,100,0,0,100,0,100,0,100,0,0,100,0,0,0,100,0,0,100,0,0,100,0,100,49,51
2023-24,Ariyalur,610,Jayamkondam,6257,Pappakudi (South),636351,Low,Medium,Medium,Low,Non Saline,Neutral,Deficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,0,120,0,120,120,0,0,120,0,120,0,120,0,0,120,0,0,0,120,0,0,120,0,0,120,0,120,85,35
2023-24,Ariyalur,610,Jayamkondam,6257,Thandalai,636365,Low,Medium,Medium,Low,Non Saline,Neutral,Deficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,0,100,0,100,100,0,0,100,0,100,0,100,0,0,100,0,0,0,100,0,0,100,0,0,100,0,100,65,35
2023-24,Ariyalur,610,Jayamkondam,6257,Vanathirayampattinam,636395,Low,Medium,Medium,Low,Non Saline,Neutral,Deficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,0,120,0,119,119,0,1,119,0,120,0,120,0,0,120,0,0,0,120,0,0,120,0,0,120,0,120,71,49
2023-24,Ariyalur,610,Sendurai,6259,Adhanakurichi,636309,Low,Medium,Medium,Low,Non Saline,Neutral,Deficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,3,97,0,99,100,0,1,99,0,100,0,100,0,0,100,0,0,0,100,0,0,100,0,0,100,0,100,64,36
2023-24,Ariyalur,610,Sendurai,6259,Anandavadi,636331,Low,Medium,Medium,Low,Non Saline,Neutral,Sufficient,Sufficient,Deficient,Sufficient,Sufficient,Sufficient,0,100,0,100,100,0,13,87,70,30,0,100,0,0,100,0,0,0,100,0,0,100,0,0,100,0,100,34,66
2023-24,Ariyalur,610,Sendurai,6259,Kulumur,636312,Low,Medium,Medium,Low,Non Saline,Neutral,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,0,99,0,100,100,0,32,68,0,100,0,100,0,0,100,0,0,0,100,0,2,98,0,0,100,0,100,0,100
2023-24,Ariyalur,610,Sendurai,6259,Paranam,636329,Low,Medium,Medium,Low,Non Saline,Neutral,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,0,100,0,100,100,0,0,100,0,100,0,100,0,0,100,0,0,0,100,0,0,100,0,0,100,0,100,31,69
2023-24,Ariyalur,610,Sendurai,6259,Sirkalathur,636316,Low,Medium,Medium,Low,Non Saline,Neutral,Deficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,4,96,0,100,100,0,5,95,0,100,0,100,0,0,100,0,0,0,100,0,1,99,0,0,100,0,100,67,33
2023-24,Ariyalur,610,Sendurai,6259,Unjini,636326,Low,Medium,Medium,Low,Non Saline,Neutral,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,1,99,0,100,100,0,1,99,41,59,0,100,0,0,100,0,0,0,100,0,0,100,0,0,100,0,100,49,51
2023-24,Ariyalur,610,T. Palur,6260,Edanganni,636409,Low,Medium,Medium,Low,Non Saline,Neutral,Deficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,0,100,0,100,100,0,0,100,0,100,0,100,0,0,100,0,0,0,100,0,0,100,0,0,100,0,100,67,33
2023-24,Ariyalur,610,T. Palur,6260,Irugaiyur,636413,Low,Medium,Medium,Low,Non Saline,Neutral,Deficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,4,96,0,100,100,0,0,100,0,100,0,100,0,0,100,0,0,0,100,0,0,100,0,0,100,0,100,71,29
2023-24,Ariyalur,610,T. Palur,6260,Kadambur,636421,Low,Medium,Medium,Low,Non Saline,Neutral,Deficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,0,100,0,100,100,0,1,99,0,100,0,100,0,0,100,0,0,0,100,0,0,100,0,0,100,1,99,56,44
2023-24,Ariyalur,610,T. Palur,6260,Karaikurichi,636412,Low,Medium,Medium,Low,Non Saline,Neutral,Sufficient,Sufficient,Deficient,Sufficient,Sufficient,Sufficient,0,100,0,100,100,0,2,98,76,24,0,100,0,0,100,0,0,0,100,0,0,100,0,0,100,1,99,46,54
2023-24,Ariyalur,610,T. Palur,6260,Managethi,636401,Low,Medium,Medium,Low,Non Saline,Neutral,Deficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,1,99,0,100,100,0,0,100,0,100,0,100,0,0,100,0,0,0,100,0,0,100,0,0,100,0,100,71,29
2023-24,Ariyalur,610,T. Palur,6260,Naduvalur (East),636414,Low,Medium,Medium,Low,Non Saline,Neutral,Deficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,0,100,0,100,100,0,0,100,1,99,0,100,0,0,100,0,0,0,100,0,0,100,0,0,100,21,79,50,50
2023-24,Ariyalur,610,T. Palur,6260,Venmankondan (West),636402,Low,Medium,Medium,Low,Non Saline,Neutral,Deficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,0,100,0,100,100,0,0,100,0,100,0,100,0,0,100,0,0,0,100,0,0,100,0,0,100,0,100,72,28
2023-24,Ariyalur,610,Thirumanur,6261,Keelakolathur,636495,Low,Medium,Medium,Low,Non Saline,Neutral,Deficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,0,100,0,100,100,0,7,93,0,100,0,100,0,0,100,0,0,0,100,0,1,99,0,0,100,0,100,74,26
2023-24,Ariyalur,610,Thirumanur,6261,Keezhapalur,636477,Low,Medium,Medium,Low,Non Saline,Neutral,Sufficient,Sufficient,Deficient,Sufficient,Sufficient,Sufficient,0,110,0,110,110,0,4,106,110,0,0,110,0,0,110,0,0,0,110,0,0,110,0,0,110,46,64,45,65
2023-24,Ariyalur,610,Thirumanur,6261,Kulamanickam (East),636506,Low,Medium,Medium,Low,Non Saline,Neutral,Deficient,Sufficient,Deficient,Deficient,Sufficient,Sufficient,14,76,0,90,90,0,0,90,81,9,0,90,0,0,90,0,0,0,90,0,0,90,0,0,90,58,32,62,28
2023-24,Ariyalur,610,Thirumanur,6261,Palinganatham,636502,Low,Medium,Medium,Low,Non Saline,Neutral,Deficient,Sufficient,Deficient,Sufficient,Sufficient,Sufficient,0,100,0,100,100,0,1,99,100,0,0,100,0,0,100,0,0,0,100,0,0,100,0,0,100,3,97,51,49
2023-24,Ariyalur,610,Thirumanur,6261,Papanacheri,636478,Low,Medium,Medium,Low,Non Saline,Neutral,Deficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,0,100,0,100,100,0,0,100,5,95,0,100,0,0,100,0,0,0,100,0,0,100,0,0,100,0,100,64,36
2023-24,Ariyalur,610,Thirumanur,6261,Sullangudi,636515,Low,Medium,Medium,Low,Non Saline,Neutral,Deficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,0,100,0,100,100,0,5,95,0,100,0,100,0,0,100,0,0,0,100,0,0,100,0,0,100,0,100,79,21
2023-24,Ariyalur,610,Thirumanur,6261,Thirumanur,636512,Low,Medium,Medium,Low,Non Saline,Neutral,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,0,100,0,100,100,0,0,100,0,100,0,100,0,0,100,0,0,0,100,0,0,100,0,0,100,0,100,39,61
2023-24,Ariyalur,610,Thirumanur,6261,Varanavasi,636468,Low,Medium,Medium,Low,Non Saline,Neutral,Deficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,0,100,1,99,100,0,24,76,5,95,0,100,0,0,100,0,0,0,100,0,0,100,0,0,100,0,100,84,16
2023-24,Chengalpattu,730,Acharapakkam,6175,Athur,630151,Low,Low,Low,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,99,1,0,100,100,0,100,0,100,0,0,100,0,0,100,0,13,82,5,0,76,24,0,0,100,24,76,12,88
2023-24,Chengalpattu,730,Acharapakkam,6175,Kadambur,630008,Low,Low,Low,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,101,0,3,98,99,2,101,0,101,0,0,101,0,0,99,2,2,96,3,0,97,4,6,1,94,17,84,18,83
2023-24,Chengalpattu,730,Acharapakkam,6175,Kilathivakkam,630129,Low,Low,Low,Low,Non Saline,Acidic,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,101,0,11,90,100,1,100,1,100,1,1,100,0,0,101,0,11,63,27,0,101,0,77,0,24,22,79,22,79
2023-24,Chengalpattu,730,Acharapakkam,6175,L.Endathur,630036,Low,Low,Low,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,73,1,0,74,74,0,74,0,74,0,0,74,0,0,74,0,18,49,7,0,71,3,6,0,68,11,63,21,53
2023-24,Chengalpattu,730,Acharapakkam,6175,Ladakaranai,630035,Low,Low,Low,Low,Non Saline,Neutral,Deficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,30,0,0,30,30,0,30,0,30,0,0,30,0,0,30,0,0,30,0,0,28,2,0,0,30,9,21,19,11
2023-24,Chengalpattu,730,Acharapakkam,6175,Madhur,630109,Low,Low,Low,Low,Non Saline,Alkaline,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,101,0,0,101,101,0,101,0,100,1,0,101,0,0,101,0,0,101,0,0,101,0,0,55,46,9,92,25,76
2023-24,Chengalpattu,730,Acharapakkam,6175,Nedungal,630143,Low,Low,Low,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,101,3,0,104,104,0,104,0,104,0,0,104,0,0,104,0,3,101,0,0,104,0,0,0,104,20,84,7,97
2023-24,Chengalpattu,730,Acharapakkam,6175,Orathur,630060,Low,Low,Low,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,97,3,3,97,100,0,100,0,100,0,0,100,0,0,100,0,1,99,0,0,100,0,0,5,95,13,87,23,77
2023-24,Chengalpattu,730,Acharapakkam,6175,Pallipettai,630137,Low,High,Low,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,100,1,0,101,101,0,101,0,101,0,0,101,0,0,101,0,55,17,29,0,91,10,0,0,101,34,67,2,99
2023-24,Chengalpattu,730,Acharapakkam,6175,Perumbairkandigai,630138,Low,Medium,Low,Low,Non Saline,Acidic,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,99,0,2,97,99,0,99,0,98,1,0,99,0,0,99,0,10,44,45,0,99,0,79,1,19,29,70,1,98
2023-24,Chengalpattu,730,Acharapakkam,6175,Puducheri,630030,Low,Low,Low,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,26,0,0,26,26,0,26,0,26,0,0,26,0,0,26,0,0,26,0,0,25,1,0,0,26,6,20,1,25
2023-24,Chengalpattu,730,Acharapakkam,6175,Seethapuram,630134,Low,High,Low,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,81,0,0,81,81,0,81,0,81,0,0,81,0,0,81,0,81,0,0,0,81,0,0,0,81,20,61,21,60
2023-24,Chengalpattu,730,Acharapakkam,6175,Sirupairpandi,630131,Low,Low,Low,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,116,0,19,97,116,0,116,0,116,0,0,116,0,0,116,0,0,111,5,0,116,0,1,38,77,34,82,8,108
2023-24,Chengalpattu,730,Acharapakkam,6175,Thandarai,630029,Low,Low,Medium,Low,Non Saline,Neutral,Deficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,19,2,1,20,21,0,21,0,21,0,0,21,0,0,21,0,0,21,0,0,1,20,0,0,21,4,17,11,10
2023-24,Chengalpattu,730,Acharapakkam,6175,Vinnampoondi,630121,Low,Low,Low,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,100,0,7,93,100,0,71,29,95,5,0,100,0,23,63,14,5,60,35,5,48,47,6,0,94,30,70,14,86
2023-24,Chengalpattu,730,Chithamur,6176,Agaram,630256,Low,High,Low,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,16,3,0,19,19,0,19,0,19,0,0,19,0,0,19,0,10,7,2,0,14,5,0,0,19,5,14,4,15
2023-24,Chengalpattu,730,Chithamur,6176,Chinnakayapakkam,932557,Low,High,Low,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,81,19,5,95,100,0,60,40,60,40,0,100,0,3,66,31,50,10,40,11,71,18,5,1,94,21,79,22,78
2023-24,Chengalpattu,730,Chithamur,6176,Keelmaruvathur,630227,Low,Low,Medium,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,106,1,1,106,107,0,94,13,92,15,0,107,0,6,94,7,4,53,50,1,14,92,0,0,107,28,79,34,73
2023-24,Chengalpattu,730,Chithamur,6176,Kolathur,630239,Low,High,Medium,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,112,2,7,107,114,0,114,0,114,0,0,114,0,1,113,0,103,1,10,0,1,113,0,0,114,29,85,49,65
2023-24,Chengalpattu,730,Chithamur,6176,Kurambarai,630221,Low,Medium,Low,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,29,2,1,30,31,0,31,0,31,0,0,31,0,0,31,0,1,12,18,0,23,8,0,0,31,9,22,1,30
2023-24,Chengalpattu,730,Chithamur,6176,Perambakkam,630229,Low,Low,Low,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,100,3,0,103,103,0,103,0,103,0,0,103,0,0,103,0,0,98,5,0,70,33,0,3,100,32,71,6,97
2023-24,Chengalpattu,730,Chithamur,6176,Perukkaranai,630231,Low,Low,Low,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,104,0,2,102,104,0,104,0,104,0,0,104,0,0,104,0,31,59,14,1,102,1,3,2,99,23,81,22,82
2023-24,Chengalpattu,730,Chithamur,6176,Polambakkam,630220,Low,Low,Low,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,63,1,1,63,64,0,64,0,64,0,0,64,0,0,64,0,4,46,14,0,51,13,0,0,64,16,48,20,44
2023-24,Chengalpattu,730,Chithamur,6176,Puthirankottai,630248,Low,Medium,Low,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,96,6,10,92,100,2,68,34,91,11,0,102,0,1,62,39,18,37,47,0,82,20,0,0,102,38,64,38,64
2023-24,Chengalpattu,730,Chithamur,6176,Sirunagar,630257,Low,Low,Low,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,100,0,3,97,100,0,100,0,100,0,0,100,0,3,92,5,23,64,13,0,93,7,0,10,90,22,78,45,55
2023-24,Chengalpattu,730,Chithamur,6176,Sothupakkam,630224,Low,Low,Low,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,82,1,2,81,83,0,83,0,83,0,0,83,0,0,83,0,1,82,0,0,66,17,0,0,83,20,63,16,67
2023-24,Chengalpattu,730,Chithamur,6176,Vedal,630250,Low,Low,Low,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,98,3,0,101,101,0,60,41,90,11,0,101,0,5,68,28,20,41,40,0,81,20,0,0,101,39,62,35,66
2023-24,Chengalpattu,730,Kattankolathur,6178,Chengalpattu,932160,Low,Low,Medium,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Deficient,Sufficient,Deficient,2,0,0,2,2,0,2,0,2,0,0,2,0,0,2,0,0,1,1,0,0,2,0,0,2,1,1,0,2
2023-24,Chengalpattu,730,Kattankolathur,6178,Echankaranai,629478,Low,High,Low,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,39,4,3,40,43,0,42,1,40,3,1,42,0,0,42,1,33,5,5,0,41,2,0,0,43,8,35,10,32
2023-24,Chengalpattu,730,Kattankolathur,6178,Kayarambedu,629411,Low,High,Low,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,142,2,2,142,143,1,144,0,143,1,0,144,0,0,144,0,113,12,19,0,140,4,0,0,144,29,115,34,110
2023-24,Chengalpattu,730,Kattankolathur,6178,Palur,629447,Low,High,Medium,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,69,1,4,66,70,0,70,0,69,1,0,70,0,0,70,0,55,4,11,0,32,38,0,0,70,19,51,29,41
2023-24,Chengalpattu,730,Kattankolathur,6178,Palur B,932185,Low,High,Low,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,64,0,0,64,64,0,64,0,63,1,0,64,0,0,63,1,58,2,4,0,54,10,0,0,64,12,52,7,57
2023-24,Chengalpattu,730,Kattankolathur,6178,Thiruvadisoolam,629503,Low,Low,Low,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,46,1,2,45,47,0,47,0,47,0,0,47,0,0,47,0,17,17,13,0,41,6,8,0,39,8,39,23,24
2023-24,Chengalpattu,730,Kattankolathur,6178,Villiambakkam,629448,Low,Low,Low,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,99,1,3,97,100,0,100,0,100,0,0,100,0,0,97,3,12,86,2,0,78,22,0,0,100,26,74,18,82
2023-24,Chengalpattu,730,Lathur,6180,Ammanur,630209,Low,Low,Medium,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,107,2,2,107,107,2,109,0,109,0,0,109,0,0,99,10,0,103,6,0,42,67,0,0,109,28,81,12,97
2023-24,Chengalpattu,730,Lathur,6180,Iranyasidhi,630199,Low,Medium,Low,Low,Non Saline,Neutral,Deficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,87,15,0,102,102,0,102,0,62,40,0,102,0,14,74,14,2,24,76,0,53,49,13,14,75,23,79,75,27
2023-24,Chengalpattu,730,Lathur,6180,Kanathur,630191,Low,Medium,Medium,Low,Non Saline,Neutral,Deficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,24,2,1,25,26,0,26,0,26,0,0,26,0,0,26,0,3,4,19,0,4,22,5,0,21,6,20,16,10
2023-24,Chengalpattu,730,Lathur,6180,Kodapattinam,630190,Low,Low,Low,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,51,1,6,46,52,0,52,0,52,0,0,52,0,1,51,0,14,28,10,0,31,21,11,0,41,13,39,16,36
2023-24,Chengalpattu,730,Lathur,6180,Lathur,630176,Low,Low,Low,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,103,0,0,103,103,0,103,0,103,0,0,103,0,0,103,0,24,79,0,0,79,24,2,0,101,35,68,15,88
2023-24,Chengalpattu,730,Lathur,6180,Nelvoy,630153,Low,Medium,Medium,Low,Non Saline,Neutral,Deficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,2,0,0,2,2,0,2,0,2,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,2,0,2,1,1
2023-24,Chengalpattu,730,Lathur,6180,Palur,630184,Low,High,Low,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,46,0,2,44,46,0,46,0,46,0,0,46,0,0,46,0,41,0,5,0,38,8,0,0,46,4,42,13,33
2023-24,Chengalpattu,730,Lathur,6180,Pavunjur,630178,Low,High,Low,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,62,0,0,62,62,0,62,0,62,0,0,62,0,0,61,1,38,5,19,0,62,0,7,0,55,10,52,2,60
2023-24,Chengalpattu,730,Lathur,6180,Pekkaranai,630173,Low,Low,Low,Low,Non Saline,Neutral,Sufficient,Deficient,Sufficient,Sufficient,Sufficient,Deficient,11,7,0,18,18,0,16,2,4,14,0,18,0,0,18,0,0,14,4,0,14,4,0,0,18,5,13,5,13
2023-24,Chengalpattu,730,Lathur,6180,Sathamangalam,630172,Low,Low,Low,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,55,17,4,68,72,0,49,23,44,28,0,72,0,8,51,13,5,36,31,0,43,29,2,0,70,8,64,14,58
2023-24,Chengalpattu,730,Lathur,6180,Sengattur,630202,Low,Low,Medium,Low,Non Saline,Neutral,Deficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,101,2,17,86,103,0,103,0,103,0,0,103,0,0,103,0,1,72,30,0,13,90,0,0,103,27,76,62,41
2023-24,Chengalpattu,730,Lathur,6180,Thandarai,630158,Low,Low,Medium,Low,Non Saline,Neutral,Deficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,56,0,4,52,56,0,56,0,55,1,0,56,0,1,55,0,0,56,0,0,10,46,0,0,56,8,48,35,21
2023-24,Chengalpattu,730,Lathur,6180,Uludamangalam,630179,Low,Medium,Low,Low,Non Saline,Neutral,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,38,1,1,38,39,0,39,0,39,0,0,39,0,0,39,0,9,11,19,0,39,0,1,1,37,8,31,5,34
2023-24,Chengalpattu,730,Lathur,6180,Vadapattinam,630192,Low,High,Low,Low,Non Saline,Acidic,Sufficient,Deficient,Deficient,Sufficient,Sufficient,Deficient,64,3,11,56,67,0,67,0,67,0,0,67,0,0,67,0,52,10,5,0,66,1,40,0,27,10,57,31,36
